T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2
手脚,脚手,七七,7,1,12,j,f
商店,店铺,一一,10,3,7,j,f
窗帘,帘幔,八八,10,7,3,f,f
猫咪,小猫,九九,10,1,9,j,f
思考,沉思,五五,10,7,3,j,f
背包,手袋,三三,10,3,7,j,f
稻草,草草,四四,7,1,12,f,f
杂草,草根,七七,10,3,7,j,f
承诺,诺言,二二,7,1,12,f,f
利润,亏损,七七,7,1,12,j,f
脏污,洁净,一一,10,3,7,j,f
葡萄,提子,八八,10,7,3,f,f
通行,过路,九九,10,1,9,j,f
成熟,老练,五五,10,7,3,j,f
考试,测验,三三,10,3,7,j,f
咳嗽,喷嚏,四四,7,1,12,f,f
善良,慈善,七七,10,3,7,j,f
篮子,籃筐,二二,7,1,12,f,f
房间,屋室,七七,7,1,12,j,f
推动,拉扯,一一,10,3,7,j,f
地板,墙壁,八八,10,7,3,f,f
愤怒,怒火,九九,10,1,9,j,f
盐巴,胡椒,五五,10,7,3,j,f
按压,挤压,三三,10,3,7,j,f
敌人,友人,四四,7,1,12,f,f
损害,伤害,七七,10,3,7,j,f
刺伤,割伤,二二,7,1,12,f,f
杯子,盏子,七七,7,1,12,j,f
婴儿,孩童,一一,10,3,7,j,f
邋遢,整洁,八八,10,7,3,f,f
啤酒,酒水,九九,10,1,9,j,f
巨大,庞大,五五,10,7,3,j,f
船只,艘船,三三,10,3,7,j,f
时间,时钟,四四,7,1,12,f,f
斧头,斧子,七七,10,3,7,j,f
进食,食用,二二,7,1,12,f,f
讲座,演讲,七七,7,1,12,j,f
马车,车马,一一,10,3,7,j,f
国王,君主,八八,10,7,3,f,f
果冻,果酱,九九,10,1,9,j,f
椅子,凳子,五五,10,7,3,j,f
虚弱,衰弱,三三,10,3,7,j,f
沙拉,凉菜,四四,7,1,12,f,f
女人,女士,七七,10,3,7,j,f
嘴唇,唇瓣,二二,7,1,12,f,f
沙子,细沙,七七,7,1,12,j,f
学校,学院,一一,10,3,7,j,f
归我,归你,八八,10,7,3,f,f
小麦,麦子,九九,10,1,9,j,f
宝石,珠宝,五五,10,7,3,j,f
口渴,清水,三三,10,3,7,j,f
拳头,拳击,四四,7,1,12,f,f
青柠,柠檬,七七,10,3,7,j,f
剃刀,刮刀,二二,7,1,12,f,f
地球,星球,七七,7,1,12,j,f
坐标,地图,一一,10,3,7,j,f
赌博,赌注,八八,10,7,3,f,f
床铺,卧床,九九,10,1,9,j,f
九个,九位,五五,10,7,3,j,f
盘子,碟子,三三,10,3,7,j,f
汽车,轿车,四四,7,1,12,f,f
烟草,烟丝,七七,10,3,7,j,f
蓝天,青空,二二,7,1,12,f,f
杀害,杀戮,七七,7,1,12,j,f
黄油,奶油,一一,10,3,7,j,f
午餐,午饭,八八,10,7,3,f,f
黄铜,黄金,九九,10,1,9,j,f
我方,你方,五五,10,7,3,j,f
瓦片,屋顶,三三,10,3,7,j,f
长凳,沙发,四四,7,1,12,f,f
姓名,地址,七七,10,3,7,j,f
高处,高点,二二,7,1,12,f,f
慢跑,快跑,七七,7,1,12,j,f
愿望,心愿,一一,10,3,7,j,f
棋盘,棋局,八八,10,7,3,f,f
清朗,云雾,九九,10,1,9,j,f
温暖,暖和,五五,10,7,3,j,f
雨夹,冰雹,三三,10,3,7,j,f
四月,五月,四四,7,1,12,f,f
湿润,潮湿,七七,10,3,7,j,f
水果,苹果,二二,7,1,12,f,f
猪肉,牛肉,七七,7,1,12,j,f
爱恋,憎恨,一一,10,3,7,j,f
分钟,小时,八八,10,7,3,f,f
生病,患病,九九,10,1,9,j,f
江河,河流,五五,10,7,3,j,f
祈祷,祷告,三三,10,3,7,j,f
黑色,白色,四四,7,1,12,f,f
湖泊,湖水,七七,10,3,7,j,f
胶水,黏糊,二二,7,1,12,f,f
眼睛,鼻子,七七,7,1,12,j,f
药片,药丸,一一,10,3,7,j,f
公开,公然,八八,10,7,3,f,f
丝带,带子,九九,10,1,9,j,f
公鸡,母鸡,五五,10,7,3,j,f
年轻,老迈,三三,10,3,7,j,f
良好,优良,四四,7,1,12,f,f
英寸,英尺,七七,10,3,7,j,f
泥土,泥地,二二,7,1,12,f,f
接收,收取,七七,7,1,12,j,f
压力,压迫,一一,10,3,7,j,f
发出,发射,八八,10,7,3,f,f
钢铁,钢材,九九,10,1,9,j,f
开始,停止,五五,10,7,3,j,f
更近,近些,三三,10,3,7,j,f
狗狗,小狗,四四,7,1,12,f,f
手臂,臂膀,七七,10,3,7,j,f
咖啡,茶叶,二二,7,1,12,f,f
水平,平面,七七,7,1,12,j,f
农场,农庄,一一,10,3,7,j,f
长久,永久,八八,10,7,3,f,f
众多,诸多,九九,10,1,9,j,f
滑动,滑行,五五,10,7,3,j,f
底部,底端,三三,10,3,7,j,f
男孩,男童,四四,7,1,12,f,f
现在,当前,七七,10,3,7,j,f
香料,香草,二二,7,1,12,f,f
首位,尾位,七七,7,1,12,j,f
桑拿,浴池,一一,10,3,7,j,f
石膏,夹板,八八,10,7,3,f,f
视觉,听觉,九九,10,1,9,j,f
马匹,小马,五五,10,7,3,j,f
粉笔,黑板,三三,10,3,7,j,f
果汁,果肉,四四,7,1,12,f,f
教授,学习,七七,10,3,7,j,f
公牛,阉牛,二二,7,1,12,f,f
粉刺,痘痘,七七,7,1,12,j,f
轮子,滚动,一一,10,3,7,j,f
旧的,新的,八八,10,7,3,f,f
金酒,烈酒,九九,10,1,9,j,f
步伐,楼梯,五五,10,7,3,j,f
深深,浅浅,三三,10,3,7,j,f
街道,道路,四四,7,1,12,f,f
卖出,买入,七七,10,3,7,j,f
手指,手掌,二二,7,1,12,f,f
丢失,找到,七七,7,1,12,j,f
租约,租金,一一,10,3,7,j,f
漫步,行走,八八,10,7,3,f,f
玩具,娃娃,九九,10,1,9,j,f
妈妈,爸爸,五五,10,7,3,j,f
松树,橡树,三三,10,3,7,j,f
蛇类,大蟒,四四,7,1,12,f,f
监狱,牢房,七七,10,3,7,j,f
他,她,二二,7,1,12,f,f
貂皮,毛皮,七七,7,1,12,j,f
盎司,磅重,一一,10,3,7,j,f
歌唱,歌曲,八八,10,7,3,f,f
修理,修复,九九,10,1,9,j,f
制造,设计,五五,10,7,3,j,f
花费,节省,三三,10,3,7,j,f
钝的,锋利,四四,7,1,12,f,f
接力,赛跑,七七,10,3,7,j,f
颜色,红色,二二,7,1,12,f,f
非常,很多,七七,7,1,12,j,f
观看,看见,一一,10,3,7,j,f
开始,结束,八八,10,7,3,f,f
撕裂,撕破,九九,10,1,9,j,f
悲伤,哭泣,五五,10,7,3,j,f
刮痕,痒痒,三三,10,3,7,j,f
炉子,烹饪,四四,7,1,12,f,f
鹰类,鸟类,七七,10,3,7,j,f
圣经,书籍,二二,7,1,12,f,f
醉酒,清醒,七七,7,1,12,j,f
风暴,云层,一一,10,3,7,j,f
衬衫,裤子,八八,10,7,3,f,f
汽车,轿车,九九,10,1,9,j,f
月份,年头,五五,10,7,3,j,f
微风,大风,三三,10,3,7,j,f
蒸气,汽蒸,四四,7,1,12,f,f
大门,围栏,七七,10,3,7,j,f
黄蜂,大黄,二二,7,1,12,f,f
餐盘,碟子,七七,7,1,12,j,f
活着,死亡,一一,10,3,7,j,f
靠近,远离,八八,10,7,3,f,f
